feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu00029	group	hFMT	-4.1963483269766	0.471178212811547	98	16	3.89121730181595e-14	4.02591328534035e-13
Otu00272	group	hFMT	-2.13876794829276	0.240853571047774	98	19	4.42122062332057e-14	4.51636081394899e-13
Otu00070	group	noFMT	-4.05980325480151	0.457992778453955	98	22	4.77177291219003e-14	4.81352592517169e-13
Otu00043	group	noFMT	-4.82167169930752	0.544566465540598	98	30	5.01545273567009e-14	4.99687698479724e-13
Otu00017	group	noFMT	-2.62879800815947	0.298043536792412	98	16	5.92087346002526e-14	5.82700595395169e-13
Otu00033	group	mFMT_other	-2.54347728014992	0.288948491456356	98	17	6.45412519427866e-14	6.27413511253786e-13
Otu00153	group	noFMT	-4.09566125361727	0.465410035632946	98	30	6.53069825840372e-14	6.27413511253786e-13
Otu00175	group	noFMT	-2.83724933011734	0.325076179708135	98	37	9.28951484121013e-14	8.81957467865479e-13
Otu00388	group	hFMT	-1.63562300875724	0.189172990842849	98	28	1.38449641209507e-13	1.29917279600084e-12
Otu00121	group	noFMT	-3.52477875392883	0.414976665475826	98	29	2.90769292209783e-13	2.69713584842868e-12
Otu00125	group	hFMT	3.01534566520311	0.356116203643971	98	32	3.30989751176848e-13	3.0353264681786e-12
Otu00224	group	hFMT	-2.71940244108178	0.323335676974175	98	21	4.36454639548472e-13	3.95751566422042e-12
Otu00160	group	hFMT	-3.12610400945436	0.372497562252295	98	34	4.76804239863591e-13	4.2753446841102e-12
Otu00113	group	hFMT	-4.62623537332049	0.552006520464999	98	31	5.04269344023549e-13	4.47192703985719e-12
Otu00059	group	mFMT_other	-3.03570564489075	0.363071282795645	98	16	5.54621231576102e-13	4.86499275958602e-12
Otu00324	group	hFMT	-1.98834239748338	0.237982521826576	98	27	5.71561061627213e-13	4.95967501863614e-12
Otu00336	group	noFMT	-2.15781581979257	0.259529877870155	98	29	6.96425719642925e-13	5.97888889097702e-12
Otu00053	group	mFMT_other	-3.03260013848213	0.366405053394249	98	22	8.36297263970726e-13	7.10412517920396e-12
Otu00156	group	hFMT	-2.17519581528937	0.265811833064262	98	31	1.3156827069965e-12	1.10599577556893e-11
Otu00056	group	hFMT	3.4028454198433	0.416099915937982	98	36	1.34968081570307e-12	1.1228787817241e-11
