seqID	sampleID	sampleType
d21_3827	d21_3827	mouse
d21_3830	d21_3830	mouse
d21_3836	d21_3836	mouse
d21_3844	d21_3844	mouse
d21_4837	d21_4837	mouse
d21_4914	d21_4914	mouse
d21_5925	d21_5925	mouse
d21_5942	d21_5942	mouse
d21_5957	d21_5957	mouse
d21_5964	d21_5964	mouse
d21_5969	d21_5969	mouse
d21_5978	d21_5978	mouse
d22_2904	d22_2904	mouse
d22_2933	d22_2933	mouse
d22_2935	d22_2935	mouse
d22_2949	d22_2949	mouse
d22_2956	d22_2956	mouse
d22_2966	d22_2966	mouse
d22_2988	d22_2988	mouse
d22_3739	d22_3739	mouse
d22_3755	d22_3755	mouse
d22_3765	d22_3765	mouse
d22_3776	d22_3776	mouse
d22_3797	d22_3797	mouse
d22_3827	d22_3827	mouse
d22_3830	d22_3830	mouse
d22_3836	d22_3836	mouse
d22_3844	d22_3844	mouse
d22_4837	d22_4837	mouse
d22_4914	d22_4914	mouse
d22_5925	d22_5925	mouse
d22_5942	d22_5942	mouse
d22_5957	d22_5957	mouse
d22_5964	d22_5964	mouse
d22_5969	d22_5969	mouse
d22_5978	d22_5978	mouse
d23_2904	d23_2904	mouse
d23_2933	d23_2933	mouse
d23_2935	d23_2935	mouse
d23_2949	d23_2949	mouse
d23_2956	d23_2956	mouse
d23_2966	d23_2966	mouse
d23_2988	d23_2988	mouse
d23_3739	d23_3739	mouse
d23_3755	d23_3755	mouse
d23_3765	d23_3765	mouse
d23_3776	d23_3776	mouse
d23_3797	d23_3797	mouse
d23_3827	d23_3827	mouse
d23_3830	d23_3830	mouse
d23_3836	d23_3836	mouse
d23_3844	d23_3844	mouse
d23_4837	d23_4837	mouse
d23_4914	d23_4914	mouse
d23_5925	d23_5925	mouse
d23_5942	d23_5942	mouse
d23_5957	d23_5957	mouse
d23_5964	d23_5964	mouse
d23_5969	d23_5969	mouse
d23_5978	d23_5978	mouse
d24_2904	d24_2904	mouse
d24_2933	d24_2933	mouse
d24_2935	d24_2935	mouse
d24_2949	d24_2949	mouse
d24_2956	d24_2956	mouse
d24_2966	d24_2966	mouse
d24_2988	d24_2988	mouse
d24_3739	d24_3739	mouse
d24_3755	d24_3755	mouse
d24_3765	d24_3765	mouse
d24_3776	d24_3776	mouse
d24_3797	d24_3797	mouse
d24_3827	d24_3827	mouse
d24_3830	d24_3830	mouse
d24_3836	d24_3836	mouse
d24_3844	d24_3844	mouse
d24_4837	d24_4837	mouse
d24_4914	d24_4914	mouse
d24_5925	d24_5925	mouse
d24_5942	d24_5942	mouse
d24_5957	d24_5957	mouse
d24_5964	d24_5964	mouse
d24_5969	d24_5969	mouse
d24_5978	d24_5978	mouse
d25_2904	d25_2904	mouse
d25_2933	d25_2933	mouse
cecal_d25_2935	d25_2935	mouse
d25_2949	d25_2949	mouse
d25_2956	d25_2956	mouse
d25_2966	d25_2966	mouse
d25_2988	d25_2988	mouse
cecal_d25_3739	d25_3739	mouse
d25_3755	d25_3755	mouse
d25_3765	d25_3765	mouse
d25_3776	d25_3776	mouse
d25_3797	d25_3797	mouse
d25_3827	d25_3827	mouse
d25_3830	d25_3830	mouse
d25_3836	d25_3836	mouse
d25_3844	d25_3844	mouse
d25_4837	d25_4837	mouse
d25_4914	d25_4914	mouse
d25_5420	d25_5420	mouse
d25_5423	d25_5423	mouse
d25_5957	d25_5957	mouse
d25_5964	d25_5964	mouse
d25_5969	d25_5969	mouse
d25_5978	d25_5978	mouse
d26_2904	d26_2904	mouse
d26_2933	d26_2933	mouse
d26_2935	d26_2935	mouse
d26_2949	d26_2949	mouse
d26_2956	d26_2956	mouse
d26_2966	d26_2966	mouse
d26_2988	d26_2988	mouse
d26_3739	d26_3739	mouse
d26_3755	d26_3755	mouse
d26_3765	d26_3765	mouse
d26_3776	d26_3776	mouse
d26_3797	d26_3797	mouse
d26_3827	d26_3827	mouse
d26_3830	d26_3830	mouse
d26_3835	d26_3836	mouse
d26_3844	d26_3844	mouse
d26_4837	d26_4837	mouse
d26_4914	d26_4914	mouse
d26_5925	d26_5925	mouse
d26_5942	d26_5942	mouse
d26_5957	d26_5957	mouse
d26_5964	d26_5964	mouse
d26_5969	d26_5969	mouse
d26_5978	d26_5978	mouse
d27_2904	d27_2904	mouse
d27_2933	d27_2933	mouse
d27_2935	d27_2935	mouse
d27_2949	d27_2949	mouse
d27_2956	d27_2956	mouse
d27_2966	d27_2966	mouse
d27_2988	d27_2988	mouse
d27_3739	d27_3739	mouse
d27_3755	d27_3755	mouse
d27_3765	d27_3765	mouse
d27_3776	d27_3776	mouse
d27_3797	d27_3797	mouse
d27_3827	d27_3827	mouse
d27_3830	d27_3830	mouse
d27_3836	d27_3836	mouse
d27_3844	d27_3844	mouse
d27_4837	d27_4837	mouse
d27_4914	d27_4914	mouse
d27_5925	d27_5925	mouse
d27_5942	d27_5942	mouse
d27_5957	d27_5957	mouse
d27_5964	d27_5964	mouse
d27_5969	d27_5969	mouse
d27_5978	d27_5978	mouse
d28_2904	d28_2904	mouse
d28_2933	d28_2933	mouse
d28_2935	d28_2935	mouse
d28_2949	d28_2949	mouse
