description	category	color
PWY-7294	Carbohydrates-Degradation	#EE82EE
GLUCOSE1PMETAB-PWY	Carbohydrates-Degradation	#EE82EE
DHGLUCONATE-PYR-CAT-PWY	Carbohydrates-Degradation	#EE82EE
FUCCAT-PWY	Carbohydrates-Degradation	#EE82EE
RHAMCAT-PWY	Carbohydrates-Degradation	#EE82EE
LACTOSECAT-PWY	Carbohydrates-Degradation	#EE82EE
PWY-6527	Carbohydrates-Degradation	#EE82EE
PWY-621	Carbohydrates-Degradation	#EE82EE
PWY-5384	Carbohydrates-Degradation	#EE82EE
PWY-7446	Carbohydrates-Degradation	#EE82EE
PWY-7242	Carbohydrates-Degradation	#EE82EE
GALACTUROCAT-PWY	Carbohydrates-Degradation	#EE82EE
GLUCUROCAT-PWY	Carbohydrates-Degradation	#EE82EE
PWY-7118	Carbohydrates-Degradation	#EE82EE
PWY-6572	Carbohydrates-Degradation	#EE82EE
PWY-6731	Carbohydrates-Degradation	#EE82EE
PWY-7345	Carbohydrates-Degradation	#EE82EE
PWY-6901	Carbohydrates-Degradation	#EE82EE
PWY-7456	Carbohydrates-Degradation	#EE82EE
PWY-6902	Carbohydrates-Degradation	#EE82EE
GLYCOCAT-PWY	Carbohydrates-Degradation	#EE82EE
PWY-5941	Carbohydrates-Degradation	#EE82EE
PWY-6807	Carbohydrates-Degradation	#EE82EE
PWY-6163	Carboxylate-Biosynthesis	grey50
ARO-PWY	Carboxylate-Biosynthesis	grey50
PWY0-42	Carboxylate-Degradation	#B3EE3A
PWY-5747	Carboxylate-Degradation	#B3EE3A
PWY-7873	Carboxylate-Degradation	#B3EE3A
GALACTARDEG-PWY	Carboxylate-Degradation	#B3EE3A
GLUCARDEG-PWY	Carboxylate-Degradation	#B3EE3A
PWY0-301	Carboxylate-Degradation	#B3EE3A
PWY-6961	Carboxylate-Degradation	#B3EE3A
PWY-7874	Carboxylate-Degradation	#B3EE3A
PWY-5130	Carboxylate-Degradation	#B3EE3A
KETOGLUCONMET-PWY	Carboxylate-Degradation	#B3EE3A
P441-PWY	Carboxylate-Degradation	#B3EE3A
GLUCARGALACTSUPER-PWY	Carboxylate-Degradation	#B3EE3A
PWY0-1586	Cell-Structure-Biosynthesis	#C1C633
PWY-7820	Cell-Structure-Biosynthesis	#C1C633
PWY-6387	Cell-Structure-Biosynthesis	#C1C633
PWY-6386	Cell-Structure-Biosynthesis	#C1C633
PWY-7953	Cell-Structure-Biosynthesis	#C1C633
PWY-6467	Cell-Structure-Biosynthesis	#C1C633
NAGLIPASYN-PWY	Cell-Structure-Biosynthesis	#C1C633
PWY-8073	Cell-Structure-Biosynthesis	#C1C633
KDO-NAGLIPASYN-PWY	Cell-Structure-Biosynthesis	#C1C633
PEPTIDOGLYCANSYN-PWY	Cell-Structure-Biosynthesis	#C1C633
PWY-5265	Cell-Structure-Biosynthesis	#C1C633
PWY-6385	Cell-Structure-Biosynthesis	#C1C633
PWY-5837	Cofactor-Biosynthesis	#FF7F50
PWY-7282	Cofactor-Biosynthesis	#FF7F50
PWY-7371	Cofactor-Biosynthesis	#FF7F50
COA-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-7851	Cofactor-Biosynthesis	#FF7F50
RIBOSYN2-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-6168	Cofactor-Biosynthesis	#FF7F50
PWY-3841	Cofactor-Biosynthesis	#FF7F50
1CMET2-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-7269	Cofactor-Biosynthesis	#FF7F50
PWY-6823	Cofactor-Biosynthesis	#FF7F50
PYRIDNUCSYN-PWY	Cofactor-Biosynthesis	#FF7F50
PYRIDNUCSAL-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-7761	Cofactor-Biosynthesis	#FF7F50
NAD-BIOSYNTHESIS-II	Cofactor-Biosynthesis	#FF7F50
PWY3O-4107	Cofactor-Biosynthesis	#FF7F50
PANTO-PWY	Cofactor-Biosynthesis	#FF7F50
PYRIDOXSYN-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-7204	Cofactor-Biosynthesis	#FF7F50
PWY-6151	Cofactor-Biosynthesis	#FF7F50
PWY-7356	Cofactor-Biosynthesis	#FF7F50
PWY-6891	Cofactor-Biosynthesis	#FF7F50
PWY-5855	Cofactor-Biosynthesis	#FF7F50
PWY-6708	Cofactor-Biosynthesis	#FF7F50
PWY-7165	Cofactor-Biosynthesis	#FF7F50
BIOTIN-BIOSYNTHESIS-PWY	Cofactor-Biosynthesis	#FF7F50
PWY-5005	Cofactor-Biosynthesis	#FF7F50
COBALSYN-PWY	Cofactor-Biosynthesis	#FF7F50
PANTOSYN-PWY	Cofactor-Biosynthesis	#FF7F50
COA-PWY-1	Cofactor-Biosynthesis	#FF7F50
PWY-5860	Cofactor-Biosynthesis	#FF7F50
PWY-5861	Cofactor-Biosynthesis	#FF7F50
PWY-5862	Cofactor-Biosynthesis	#FF7F50
PWY-5896	Cofactor-Biosynthesis	#FF7F50
